id,ddG_SDM2
206R_200F,0.35
282R_283F,0.59
121R_120F,-0.7
160R_155F,0.94
77R_74F,-0.44
148R_147F,-1.51
191R_192F,-0.08
260R_255F,-1.38
172R_180F,-0.11
197R_201F,-0.6
219R_225F,0.44
198R_201F,-0.43
220R_225F,-0.3
254R_262F,-2.15
189R_188F,0.13
266R_260F,-0.4
297R_294F,0.25
264R_260F,-0.65
299R_294F,-0.09
265R_261F,-0.87
72R_70F,0.19
35R_34F,-0.51
167R_168F,0.36
199R_198F,0.72
204R_198F,1.35
221R_220F,-0.37
223R_220F,0.98
281R_280F,-0.37
315R_316F,-0.51
268R_269F,0.11
262R_264F,0.46
298R_299F,-0.12
256R_264F,0.12
79R_76F,0.32
173R_176F,0.06
206R_204F,-0.2
80R_76F,-0.87
77R_75F,0.54
296R_301F,0.78
258R_255F,-0.98
172R_177F,-0.15
197R_205F,-0.46
219R_224F,1.07
198R_205F,-0.87
220R_224F,0.14
320R_319F,1.43
260R_257F,-0.01
162R_161F,-0.54
319R_320F,-1.42
28R_27F,1.24
164R_163F,1.2
296R_293F,0.23
116R_113F,0.44
157R_156F,-3.04
198R_197F,-0.42
220R_219F,-0.91
280R_279F,-0.91
36R_34F,1.39
73R_72F,-0.86
257R_261F,-1.48
260R_259F,-0.35
262R_256F,0.23
167R_169F,-0.63
76R_73F,1.42
78R_73F,2.49
173R_174F,0.85
206R_202F,0.77
188R_189F,-1.52
74R_71F,1.41
263R_254F,1.26
76R_75F,1.02
70R_71F,0.37
258R_257F,0.21
156R_160F,-0.05
172R_173F,-0.59
197R_206F,-0.41
157R_160F,-3.18
198R_206F,-1.23
279R_282F,0.18
171R_173F,-0.14
196R_206F,-0.14
280R_282F,-0.8
301R_296F,-0.77
301R_303F,-0.46
177R_171F,-0.03
205R_196F,-0.03
224R_217F,0.48
265R_255F,-0.55
278R_284F,1.25
302R_301F,0.67
56R_55F,0.14
73R_80F,-0.78
257R_264F,-0.64
