PT021068_PT021125_PT021186_PT021244_PT021302_PT021360_R,PT021067_PT021124_PT021185_PT021243_PT021301_PT021359_F,PT021068_PT021125_PT021186_PT021244_PT021302_PT021360_R_+_PT021067_PT021124_PT021185_PT021243_PT021301_PT021359_F
PT021079_PT021136_PT021197_PT021255_PT021313_PT021371_R,PT021135_PT021254_PT021312_PT021370_F,PT021079_PT021136_PT021197_PT021255_PT021313_PT021371_R_+_PT021135_PT021254_PT021312_PT021370_F
PT021081_PT021138_PT021199_PT021257_PT021315_PT021373_R,PT021080_PT021137_PT021198_PT021256_PT021314_PT021372_F,PT021081_PT021138_PT021199_PT021257_PT021315_PT021373_R_+_PT021080_PT021137_PT021198_PT021256_PT021314_PT021372_F
VB00996_R,VB00993_F,VB00996_R_+_VB00993_F
LL001640_R,LL000714_F,LL001640_R_+_LL000714_F
LL001963_R,LL001940_F,LL001963_R_+_LL001940_F
PT002755_PT002759_PT002872_PT003103_VB02380_VB03634_R,PT002038_VB02378_F,PT002755_PT002759_PT002872_PT003103_VB02380_VB03634_R_+_PT002038_VB02378_F
VB01299_R,VB01342_VB01343_F,VB01299_R_+_VB01342_VB01343_F
VB06137_R,PT000913_PT001010_F,VB06137_R_+_PT000913_PT001010_F
LL000745_R,LL000748_F,LL000745_R_+_LL000748_F
LL000974_R,LL000977_F,LL000974_R_+_LL000977_F
LL001054_R,LL001057_F,LL001054_R_+_LL001057_F
PT002649_VB02151_R,PT002652_F,PT002649_VB02151_R_+_PT002652_F
LL000891_R,LL000897_F,LL000891_R_+_LL000897_F
LL000932_R,LL000938_F,LL000932_R_+_LL000938_F
LL001012_R,LL001018_F,LL001012_R_+_LL001018_F
LL001124_R,LL001130_F,LL001124_R_+_LL001130_F
PT006616_PT006642_VB04063_R,PT006614_PT006640_VB04064_F,PT006616_PT006642_VB04063_R_+_PT006614_PT006640_VB04064_F
PT009716_PT014497_VB04353_R,PT015349_PT015354_VB04357_F,PT009716_PT014497_VB04353_R_+_PT015349_PT015354_VB04357_F
PT009722_PT014502_R,PT015359_PT015368_VB04424_F,PT009722_PT014502_R_+_PT015359_PT015368_VB04424_F
PT009728_PT014507_VB04450_R,PT015363_PT015372_VB04453_F,PT009728_PT014507_VB04450_R_+_PT015363_PT015372_VB04453_F
PT001472_PT013793_VB04184_R,PT001470_PT013791_VB04181_F,PT001472_PT013793_VB04184_R_+_PT001470_PT013791_VB04181_F
PT011173_PT014580_R,PT006686_PT014368_VB04438_F,PT011173_PT014580_R_+_PT006686_PT014368_VB04438_F
PT001344_R,PT001345_F,PT001344_R_+_PT001345_F
LL000714_R,LL000721_F,LL000714_R_+_LL000721_F
PT001127_PT013540_VB04275_R,PT003317_PT014188_VB04276_F,PT001127_PT013540_VB04275_R_+_PT003317_PT014188_VB04276_F
PT003070_PT014131_R,PT003066_PT014127_F,PT003070_PT014131_R_+_PT003066_PT014127_F
PT003078_PT014139_VB03424_R,PT003074_PT014135_VB03428_F,PT003078_PT014139_VB03424_R_+_PT003074_PT014135_VB03428_F
PT003086_PT014147_R,PT003082_PT014143_F,PT003086_PT014147_R_+_PT003082_PT014143_F
PT003305_PT014176_R,PT003316_PT014187_VB04256_F,PT003305_PT014176_R_+_PT003316_PT014187_VB04256_F
PT001471_PT013792_VB04178_R,PT001479_PT013800_VB04177_F,PT001471_PT013792_VB04178_R_+_PT001479_PT013800_VB04177_F
PT003339_PT003372_VB01629_R,PT003337_PT003370_VB01628_F,PT003339_PT003372_VB01629_R_+_PT003337_PT003370_VB01628_F
VB00719_R,VB05894_F,VB00719_R_+_VB05894_F
VB01057_R,VB01054_F,VB01057_R_+_VB01054_F
LL001662_R,LL001661_F,LL001662_R_+_LL001661_F
LL001730_R,LL001731_F,LL001730_R_+_LL001731_F
PT012883_VB04020_R,PT012884_VB04021_F,PT012883_VB04020_R_+_PT012884_VB04021_F
PT012889_VB04026_R,PT012890_VB04027_F,PT012889_VB04026_R_+_PT012890_VB04027_F
PT012892_VB04029_R,PT012893_VB04030_F,PT012892_VB04029_R_+_PT012893_VB04030_F
PT016983_PT018696_R,PT016982_PT018698_F,PT016983_PT018696_R_+_PT016982_PT018698_F
PT001059_PT001468_PT007431_PT013491_PT013789_R,PT001483_PT013804_VB04172_F,PT001059_PT001468_PT007431_PT013491_PT013789_R_+_PT001483_PT013804_VB04172_F
PT023701_PT023705_R,PT023703_F,PT023701_PT023705_R_+_PT023703_F
VB06194_R,VB06196_F,VB06194_R_+_VB06196_F
PT001303_PT002799_PT013661_R,PT001385_PT013716_F,PT001303_PT002799_PT013661_R_+_PT001385_PT013716_F
LL001617_R,LL001612_F,LL001617_R_+_LL001612_F
LL001567_R,LL000804_F,LL001567_R_+_LL000804_F
LL001638_R,LL000723_F,LL001638_R_+_LL000723_F
PT001278_PT013644_PT013698_R,PT001276_PT013642_PT013692_F,PT001278_PT013644_PT013698_R_+_PT001276_PT013642_PT013692_F
PT001530_PT013843_R,PT001531_PT013844_F,PT001530_PT013843_R_+_PT001531_PT013844_F
PT001537_PT013849_VB04204_R,PT001538_PT013850_VB04199_F,PT001537_PT013849_VB04204_R_+_PT001538_PT013850_VB04199_F
PT001874_VB03240_R,PT001875_PT004699_PT014281_VB03238_F,PT001874_VB03240_R_+_PT001875_PT004699_PT014281_VB03238_F
PT001971_R,PT000058_PT001972_PT001978_PT009982_VB01645_VB03898_F,PT001971_R_+_PT000058_PT001972_PT001978_PT009982_VB01645_VB03898_F
PT003169_R,PT003168_F,PT003169_R_+_PT003168_F
PT003208_PT006222_VB02555_R,PT003209_PT006220_VB02553_F,PT003208_PT006222_VB02555_R_+_PT003209_PT006220_VB02553_F
PT003211_PT006227_VB02560_R,PT003212_PT006225_VB02558_F,PT003211_PT006227_VB02560_R_+_PT003212_PT006225_VB02558_F
LL001529_R,LL001524_F,LL001529_R_+_LL001524_F
LL001689_R,LL001686_F,LL001689_R_+_LL001686_F
LL001867_R,LL001866_F,LL001867_R_+_LL001866_F
LL000119_R,LL000118_F,LL000119_R_+_LL000118_F
LL000123_R,LL000122_F,LL000123_R_+_LL000122_F
LL000257_R,LL000256_F,LL000257_R_+_LL000256_F
LL000421_R,LL000420_F,LL000421_R_+_LL000420_F
LL000432_R,LL000430_F,LL000432_R_+_LL000430_F
LL001162_R,LL001157_F,LL001162_R_+_LL001157_F
LL001261_R,LL001256_F,LL001261_R_+_LL001256_F
LL001645_R,LL001646_F,LL001645_R_+_LL001646_F
PT000975_R,PT000974_F,PT000975_R_+_PT000974_F
PT001264_R,PT001213_PT001226_PT013611_VB00201_VB04553_F,PT001264_R_+_PT001213_PT001226_PT013611_VB00201_VB04553_F
PT003289_VB03121_R,PT000569_VB03122_F,PT003289_VB03121_R_+_PT000569_VB03122_F
LL000760_R,LL001637_F,LL000760_R_+_LL001637_F
LL000803_R,LL001578_F,LL000803_R_+_LL001578_F
LL000833_R,LL001557_F,LL000833_R_+_LL001557_F
LL000927_R,LL001396_F,LL000927_R_+_LL001396_F
LL000953_R,LL001371_F,LL000953_R_+_LL001371_F
LL000964_R,LL001359_F,LL000964_R_+_LL001359_F
LL001086_R,LL001198_F,LL001086_R_+_LL001198_F
LL001611_R,LL001608_F,LL001611_R_+_LL001608_F
VB00994_R,VB00996_F,VB00994_R_+_VB00996_F
PT000918_R,PT000922_F,PT000918_R_+_PT000922_F
LL001156_R,LL001153_F,LL001156_R_+_LL001153_F
LL001255_R,LL001252_F,LL001255_R_+_LL001252_F
LL001400_R,LL001397_F,LL001400_R_+_LL001397_F
LL001502_R,LL001499_F,LL001502_R_+_LL001499_F
LL001523_R,LL001520_F,LL001523_R_+_LL001520_F
LL001825_R,LL001824_F,LL001825_R_+_LL001824_F
PT003330_PT003363_VB01303_R,PT003326_PT003359_VB01292_F,PT003330_PT003363_VB01303_R_+_PT003326_PT003359_VB01292_F
VB00977_R,VB03911_F,VB00977_R_+_VB03911_F
VB01304_R,VB01293_F,VB01304_R_+_VB01293_F
LL000754_R,LL001635_F,LL000754_R_+_LL001635_F
LL000797_R,LL001576_F,LL000797_R_+_LL001576_F
LL000827_R,LL001555_F,LL000827_R_+_LL001555_F
LL000921_R,LL001394_F,LL000921_R_+_LL001394_F
LL000947_R,LL001369_F,LL000947_R_+_LL001369_F
LL001080_R,LL001196_F,LL001080_R_+_LL001196_F
PT000601_PT000649_R,PT000835_PT000846_VB01874_F,PT000601_PT000649_R_+_PT000835_PT000846_VB01874_F
VB03918_R,VB03928_F,VB03918_R_+_VB03928_F
LL001201_R,LL001206_F,LL001201_R_+_LL001206_F
LL001340_R,LL001345_F,LL001340_R_+_LL001345_F
LL001412_R,LL001417_F,LL001412_R_+_LL001417_F
LL001431_R,LL001436_F,LL001431_R_+_LL001436_F
LL001448_R,LL001453_F,LL001448_R_+_LL001453_F
LL001482_R,LL001487_F,LL001482_R_+_LL001487_F
PT000137_PT013211_R,PT000125_PT013199_F,PT000137_PT013211_R_+_PT000125_PT013199_F
PT000180_VB01217_VB01920_R,PT000183_VB01227_F,PT000180_VB01217_VB01920_R_+_PT000183_VB01227_F
PT000512_PT001687_VB01423_VB01904_R,PT001682_VB01427_VB01907_F,PT000512_PT001687_VB01423_VB01904_R_+_PT001682_VB01427_VB01907_F
PT002341_R,PT002346_F,PT002341_R_+_PT002346_F
VB04617_R,VB04621_F,VB04617_R_+_VB04621_F
LL000766_R,LL001624_F,LL000766_R_+_LL001624_F
LL000780_R,LL001604_F,LL000780_R_+_LL001604_F
LL000824_R,LL001563_F,LL000824_R_+_LL001563_F
LL001854_R,LL001861_F,LL001854_R_+_LL001861_F
PT007087_R,PT000804_PT003386_PT004260_PT007089_PT013423_PT014190_PT014377_VB04314_VB04399_F,PT007087_R_+_PT000804_PT003386_PT004260_PT007089_PT013423_PT014190_PT014377_VB04314_VB04399_F
PT016916_PT016932_R,PT000073_PT000517_PT010011_VB01456_VB01941_F,PT016916_PT016932_R_+_PT000073_PT000517_PT010011_VB01456_VB01941_F
PT016919_PT016935_R,PT000084_PT001983_PT002445_PT002454_PT010003_PT014023_VB01460_F,PT016919_PT016935_R_+_PT000084_PT001983_PT002445_PT002454_PT010003_PT014023_VB01460_F
PT016922_PT016938_R,PT000090_PT001960_PT001985_PT002444_PT002450_PT002453_PT014022_VB01461_F,PT016922_PT016938_R_+_PT000090_PT001960_PT001985_PT002444_PT002450_PT002453_PT014022_VB01461_F
PT019132_VB03034_R,PT019130_F,PT019132_VB03034_R_+_PT019130_F
PT019970_PT019985_PT020001_R,VB02618_VB03766_F,PT019970_PT019985_PT020001_R_+_VB02618_VB03766_F
PT021905_PT021937_VB04112_R,PT021903_PT021935_VB04113_VB04120_F,PT021905_PT021937_VB04112_R_+_PT021903_PT021935_VB04113_VB04120_F
VB00131_R,VB00151_F,VB00131_R_+_VB00151_F
VB00541_R,VB00546_F,VB00541_R_+_VB00546_F
VB00626_R,VB00624_F,VB00626_R_+_VB00624_F
LL001216_R,LL001203_F,LL001216_R_+_LL001203_F
LL001355_R,LL001342_F,LL001355_R_+_LL001342_F
LL001427_R,LL001414_F,LL001427_R_+_LL001414_F
LL001446_R,LL001433_F,LL001446_R_+_LL001433_F
LL001463_R,LL001450_F,LL001463_R_+_LL001450_F
LL001497_R,LL001484_F,LL001497_R_+_LL001484_F
LL002388_R,LL002387_F,LL002388_R_+_LL002387_F
PT000126_PT013200_R,PT000130_PT013204_F,PT000126_PT013200_R_+_PT000130_PT013204_F
PT000185_VB01241_VB01930_R,PT000179_VB01219_VB01922_F,PT000185_VB01241_VB01930_R_+_PT000179_VB01219_VB01922_F
PT001995_PT002487_VB02266_R,PT003131_VB02264_F,PT001995_PT002487_VB02266_R_+_PT003131_VB02264_F
LL001182_R,LL001183_F,LL001182_R_+_LL001183_F
LL001381_R,LL001382_F,LL001381_R_+_LL001382_F
LL001215_R,LL001213_F,LL001215_R_+_LL001213_F
LL001354_R,LL001352_F,LL001354_R_+_LL001352_F
LL001426_R,LL001424_F,LL001426_R_+_LL001424_F
LL001445_R,LL001443_F,LL001445_R_+_LL001443_F
LL001462_R,LL001460_F,LL001462_R_+_LL001460_F
LL001496_R,LL001494_F,LL001496_R_+_LL001494_F
PT000182_VB01237_VB01929_VB05607_R,PT000171_VB01235_F,PT000182_VB01237_VB01929_VB05607_R_+_PT000171_VB01235_F
PT000218_PT013253_R,PT000221_PT013256_F,PT000218_PT013253_R_+_PT000221_PT013256_F
PT001794_PT013889_R,PT001791_PT013886_F,PT001794_PT013889_R_+_PT001791_PT013886_F
PT002354_R,PT002352_F,PT002354_R_+_PT002352_F
PT021074_PT021131_PT021192_PT021250_PT021308_PT021366_R,PT021073_PT021130_PT021191_PT021249_PT021307_PT021365_VB00364_F,PT021074_PT021131_PT021192_PT021250_PT021308_PT021366_R_+_PT021073_PT021130_PT021191_PT021249_PT021307_PT021365_VB00364_F
LL001220_R,LL001232_F,LL001220_R_+_LL001232_F
LL001236_R,LL001248_F,LL001236_R_+_LL001248_F
LL001282_R,LL001294_F,LL001282_R_+_LL001294_F
LL001319_R,LL001331_F,LL001319_R_+_LL001331_F
LL001467_R,LL001479_F,LL001467_R_+_LL001479_F
PT000217_PT013252_R,PT000232_PT013267_F,PT000217_PT013252_R_+_PT000232_PT013267_F
PT010968_PT010974_R,PT010972_PT010978_F,PT010968_PT010974_R_+_PT010972_PT010978_F
VB03926_R,VB03925_F,VB03926_R_+_VB03925_F
LL001487_R,LL001492_F,LL001487_R_+_LL001492_F
LL001206_R,LL001211_F,LL001206_R_+_LL001211_F
LL001345_R,LL001350_F,LL001345_R_+_LL001350_F
LL001417_R,LL001422_F,LL001417_R_+_LL001422_F
LL001436_R,LL001441_F,LL001436_R_+_LL001441_F
LL001453_R,LL001458_F,LL001453_R_+_LL001458_F
PT000125_PT013199_R,PT000134_PT013208_F,PT000125_PT013199_R_+_PT000134_PT013208_F
PT000183_VB01227_R,PT000189_F,PT000183_VB01227_R_+_PT000189_F
PT011579_R,PT011581_F,PT011579_R_+_PT011581_F
VB04637_R,VB04638_F,VB04637_R_+_VB04638_F
VB01595_R,VB01561_F,VB01595_R_+_VB01561_F
PT012590_VB02238_R,PT000445_PT008677_VB02235_F,PT012590_VB02238_R_+_PT000445_PT008677_VB02235_F
PT012594_VB02328_R,PT000449_VB02326_F,PT012594_VB02328_R_+_PT000449_VB02326_F
PT000922_R,PT000920_F,PT000922_R_+_PT000920_F
LL001153_R,LL001161_F,LL001153_R_+_LL001161_F
LL001252_R,LL001260_F,LL001252_R_+_LL001260_F
LL001397_R,LL001405_F,LL001397_R_+_LL001405_F
LL001499_R,LL001507_F,LL001499_R_+_LL001507_F
LL001520_R,LL001528_F,LL001520_R_+_LL001528_F
LL001824_R,LL001828_F,LL001824_R_+_LL001828_F
PT003326_PT003359_VB01292_R,PT003328_PT003361_VB01326_F,PT003326_PT003359_VB01292_R_+_PT003328_PT003361_VB01326_F
VB01293_R,VB01327_F,VB01293_R_+_VB01327_F
VB01294_R,VB01328_F,VB01294_R_+_VB01328_F
LL001101_R,LL001087_F,LL001101_R_+_LL001087_F
LL001119_R,LL001105_F,LL001119_R_+_LL001105_F
LL001150_R,LL001136_F,LL001150_R_+_LL001136_F
PT000050_PT001980_PT009998_PT010018_VB01662_VB03897_R,PT001676_VB01644_VB01897_F,PT000050_PT001980_PT009998_PT010018_VB01662_VB03897_R_+_PT001676_VB01644_VB01897_F
PT001270_PT013636_R,PT001276_PT013642_PT013692_F,PT001270_PT013636_R_+_PT001276_PT013642_PT013692_F
LL000105_R,LL000106_F,LL000105_R_+_LL000106_F
LL000736_R,LL000723_F,LL000736_R_+_LL000723_F
LL000818_R,LL000804_F,LL000818_R_+_LL000804_F
LL000854_R,LL000840_F,LL000854_R_+_LL000840_F
LL000869_R,LL000855_F,LL000869_R_+_LL000855_F
LL000748_R,LL000752_F,LL000748_R_+_LL000752_F
LL000977_R,LL000981_F,LL000977_R_+_LL000981_F
LL001057_R,LL001061_F,LL001057_R_+_LL001061_F
PT002652_R,PT002656_VB02157_F,PT002652_R_+_PT002656_VB02157_F
LL000741_R,LL000743_F,LL000741_R_+_LL000743_F
LL000970_R,LL000972_F,LL000970_R_+_LL000972_F
LL001050_R,LL001052_F,LL001050_R_+_LL001052_F
PT000483_PT002645_VB03643_R,PT002647_VB02149_F,PT000483_PT002645_VB03643_R_+_PT002647_VB02149_F
PT001486_PT013807_VB04183_R,PT001471_PT013792_VB04178_F,PT001486_PT013807_VB04183_R_+_PT001471_PT013792_VB04178_F
PT000552_PT000857_VB00888_VB01693_VB03068_VB03961_VB05793_R,PT000556_PT000875_VB03072_F,PT000552_PT000857_VB00888_VB01693_VB03068_VB03961_VB05793_R_+_PT000556_PT000875_VB03072_F
PT011410_PT011425_VB04295_R,PT020217_PT020251_VB04298_F,PT011410_PT011425_VB04295_R_+_PT020217_PT020251_VB04298_F
PT001787_PT013882_R,PT001792_PT013887_F,PT001787_PT013882_R_+_PT001792_PT013887_F
PT005716_PT005720_PT014291_R,PT005714_PT005718_PT005726_PT005727_PT005728_PT005729_PT005730_PT014289_VB02924_F,PT005716_PT005720_PT014291_R_+_PT005714_PT005718_PT005726_PT005727_PT005728_PT005729_PT005730_PT014289_VB02924_F
PT009469_R,PT009468_F,PT009469_R_+_PT009468_F
PT009473_R,PT009472_F,PT009473_R_+_PT009472_F
PT010969_PT010975_R,PT010970_PT010976_F,PT010969_PT010975_R_+_PT010970_PT010976_F
PT019010_PT019023_PT019035_VB04335_R,PT019017_PT019030_PT019042_VB04342_F,PT019010_PT019023_PT019035_VB04335_R_+_PT019017_PT019030_PT019042_VB04342_F
PT019047_PT019056_R,PT019046_PT019055_F,PT019047_PT019056_R_+_PT019046_PT019055_F
PT019052_PT019060_R,PT019051_PT019059_F,PT019052_PT019060_R_+_PT019051_PT019059_F
VB00145_R,VB00158_F,VB00145_R_+_VB00158_F
LL000278_R,LL000277_F,LL000278_R_+_LL000277_F
PT001479_PT013800_VB04177_R,PT001482_PT013803_VB04173_F,PT001479_PT013800_VB04177_R_+_PT001482_PT013803_VB04173_F
PT003337_PT003370_VB01628_R,PT003344_PT003377_VB01622_F,PT003337_PT003370_VB01628_R_+_PT003344_PT003377_VB01622_F
PT001355_R,PT001356_F,PT001355_R_+_PT001356_F
PT001473_PT013794_VB04185_R,PT001478_PT013799_VB04188_F,PT001473_PT013794_VB04185_R_+_PT001478_PT013799_VB04188_F
PT000451_VB02413_R,PT004948_PT007802_F,PT000451_VB02413_R_+_PT004948_PT007802_F
PT000453_VB02427_R,PT004949_PT007803_VB02430_F,PT000453_VB02427_R_+_PT004949_PT007803_VB02430_F
PT001419_PT001488_PT013744_PT013808_R,PT001494_PT013814_F,PT001419_PT001488_PT013744_PT013808_R_+_PT001494_PT013814_F
PT003825_PT014250_R,PT003827_PT014252_F,PT003825_PT014250_R_+_PT003827_PT014252_F
PT011408_PT011423_PT020202_PT020238_VB04294_R,PT011409_PT011424_VB04299_F,PT011408_PT011423_PT020202_PT020238_VB04294_R_+_PT011409_PT011424_VB04299_F
PT000190_VB01624_VB01914_R,PT001693_F,PT000190_VB01624_VB01914_R_+_PT001693_F
PT011638_PT011649_PT011654_PT011665_VB00915_VB02915_R,PT011639_PT011650_PT011655_PT011666_VB00916_F,PT011638_PT011649_PT011654_PT011665_VB00915_VB02915_R_+_PT011639_PT011650_PT011655_PT011666_VB00916_F
PT011642_PT011658_VB00950_R,PT011643_PT011659_VB00951_F,PT011642_PT011658_VB00950_R_+_PT011643_PT011659_VB00951_F
PT017382_VB04498_R,PT017381_F,PT017382_VB04498_R_+_PT017381_F
PT018584_VB03467_R,PT018592_VB03475_F,PT018584_VB03467_R_+_PT018592_VB03475_F
VB00189_VB04174_R,PT001485_PT013806_VB04176_F,VB00189_VB04174_R_+_PT001485_PT013806_VB04176_F
LL001311_R,LL001316_F,LL001311_R_+_LL001316_F
LL001626_R,LL000768_F,LL001626_R_+_LL000768_F
LL001334_R,LL001339_F,LL001334_R_+_LL001339_F
LL001565_R,LL000826_F,LL001565_R_+_LL000826_F
LL001593_R,LL001598_F,LL001593_R_+_LL001598_F
LL001606_R,LL000782_F,LL001606_R_+_LL000782_F
LL001644_R,LL001643_F,LL001644_R_+_LL001643_F
LL001610_R,LL000773_F,LL001610_R_+_LL000773_F
PT001304_PT013662_R,PT001310_PT002802_PT013668_F,PT001304_PT013662_R_+_PT001310_PT002802_PT013668_F
PT001319_PT013676_R,PT001325_PT013682_F,PT001319_PT013676_R_+_PT001325_PT013682_F
PT002667_PT002837_PT002849_PT012606_R,PT000464_PT002480_VB02107_F,PT002667_PT002837_PT002849_PT012606_R_+_PT000464_PT002480_VB02107_F
PT007091_PT014379_VB04397_R,PT007087_F,PT007091_PT014379_VB04397_R_+_PT007087_F
PT007098_PT014386_VB04406_R,PT003505_PT007094_PT014240_PT014382_VB04404_F,PT007098_PT014386_VB04406_R_+_PT003505_PT007094_PT014240_PT014382_VB04404_F
PT012604_VB02099_R,PT000461_PT008698_VB02097_F,PT012604_VB02099_R_+_PT000461_PT008698_VB02097_F
PT012608_VB02319_R,PT000467_F,PT012608_VB02319_R_+_PT000467_F
PT012610_VB02393_R,PT000470_F,PT012610_VB02393_R_+_PT000470_F
PT012613_VB02547_R,PT000473_VB02545_F,PT012613_VB02547_R_+_PT000473_VB02545_F
LL001175_R,LL001176_F,LL001175_R_+_LL001176_F
LL001374_R,LL001375_F,LL001374_R_+_LL001375_F
LL000789_R,LL001596_F,LL000789_R_+_LL001596_F
LL000989_R,LL001337_F,LL000989_R_+_LL001337_F
LL001000_R,LL001314_F,LL001000_R_+_LL001314_F
LL001559_R,LL000822_F,LL001559_R_+_LL000822_F
LL001600_R,LL000778_F,LL001600_R_+_LL000778_F
LL001620_R,LL000764_F,LL001620_R_+_LL000764_F
PT005038_PT005040_PT005099_PT005133_R,PT005123_F,PT005038_PT005040_PT005099_PT005133_R_+_PT005123_F
PT005095_PT005112_R,PT005106_F,PT005095_PT005112_R_+_PT005106_F
PT005132_R,PT005122_F,PT005132_R_+_PT005122_F
PT005134_R,PT005124_F,PT005134_R_+_PT005124_F
PT007689_PT014417_VB03987_R,PT007688_PT014416_VB03988_F,PT007689_PT014417_VB03987_R_+_PT007688_PT014416_VB03988_F
VB00016_R,VB00008_F,VB00016_R_+_VB00008_F
PT025023_PT025046_R,PT025016_PT025039_F,PT025023_PT025046_R_+_PT025016_PT025039_F
PT025070_PT025093_R,PT025063_PT025086_F,PT025070_PT025093_R_+_PT025063_PT025086_F
VB04622_R,VB04663_F,VB04622_R_+_VB04663_F
LL001186_R,LL001184_F,LL001186_R_+_LL001184_F
LL001385_R,LL001383_F,LL001385_R_+_LL001383_F
LL001089_R,LL001095_F,LL001089_R_+_LL001095_F
LL001107_R,LL001113_F,LL001107_R_+_LL001113_F
PT002986_PT003021_PT011856_VB02850_VB03935_R,PT003015_PT011850_VB03941_F,PT002986_PT003021_PT011856_VB02850_VB03935_R_+_PT003015_PT011850_VB03941_F
PT013700_R,PT013702_F,PT013700_R_+_PT013702_F
PT013707_R,PT013709_F,PT013707_R_+_PT013709_F
VB03324_R,VB00707_F,VB03324_R_+_VB00707_F
VB04988_R,PT022595_PT022693_F,VB04988_R_+_PT022595_PT022693_F
PT000047_PT003683_PT007472_PT009237_PT016911_PT016927_VB01249_VB01892_VB05605_R,PT001673_PT016910_PT016926_VB01256_F,PT000047_PT003683_PT007472_PT009237_PT016911_PT016927_VB01249_VB01892_VB05605_R_+_PT001673_PT016910_PT016926_VB01256_F
LL000903_R,LL001467_F,LL000903_R_+_LL001467_F
LL000993_R,LL001319_F,LL000993_R_+_LL001319_F
LL001024_R,LL001282_F,LL001024_R_+_LL001282_F
LL001063_R,LL001236_F,LL001063_R_+_LL001236_F
LL001064_R,LL001220_F,LL001064_R_+_LL001220_F
PT000044_PT007471_PT009236_VB01248_VB03995_R,PT001671_VB01255_VB03996_F,PT000044_PT007471_PT009236_VB01248_VB03995_R_+_PT001671_VB01255_VB03996_F
PT000227_PT013262_R,PT000217_PT013252_F,PT000227_PT013262_R_+_PT000217_PT013252_F
PT001565_PT008685_VB02111_R,PT001566_PT008686_VB02113_VB03636_F,PT001565_PT008685_VB02111_R_+_PT001566_PT008686_VB02113_VB03636_F
PT001567_PT008683_VB02118_R,PT001568_PT008684_VB02119_F,PT001567_PT008683_VB02118_R_+_PT001568_PT008684_VB02119_F
LL001211_R,LL001212_F,LL001211_R_+_LL001212_F
LL001350_R,LL001351_F,LL001350_R_+_LL001351_F
LL001422_R,LL001423_F,LL001422_R_+_LL001423_F
LL001441_R,LL001442_F,LL001441_R_+_LL001442_F
LL001458_R,LL001459_F,LL001458_R_+_LL001459_F
LL001492_R,LL001493_F,LL001492_R_+_LL001493_F
PT000134_PT013208_R,PT000132_PT013206_F,PT000134_PT013208_R_+_PT000132_PT013206_F
PT000189_R,PT000176_VB01234_VB01927_F,PT000189_R_+_PT000176_VB01234_VB01927_F
LL000100_R,LL000099_F,LL000100_R_+_LL000099_F
LL001159_R,LL001162_F,LL001159_R_+_LL001162_F
LL001258_R,LL001261_F,LL001258_R_+_LL001261_F
LL001403_R,LL001406_F,LL001403_R_+_LL001406_F
LL001505_R,LL001508_F,LL001505_R_+_LL001508_F
LL001526_R,LL001529_F,LL001526_R_+_LL001529_F
PT001017_R,PT001015_F,PT001017_R_+_PT001015_F
VB01316_R,VB01332_F,VB01316_R_+_VB01332_F
VB01317_VB01318_R,VB01333_F,VB01317_VB01318_R_+_VB01333_F
VB01321_R,VB01334_F,VB01321_R_+_VB01334_F
LL001642_R,LL000714_F,LL001642_R_+_LL000714_F
VB00103_R,VB00104_F,VB00103_R_+_VB00104_F
VB00284_R,VB00285_F,VB00284_R_+_VB00285_F
VB00539_R,VB00844_F,VB00539_R_+_VB00844_F
VB00545_R,VB00546_F,VB00545_R_+_VB00546_F
VB03264_R,PT001840_PT004694_PT014276_VB01454_F,VB03264_R_+_PT001840_PT004694_PT014276_VB01454_F
VB04669_R,VB00289_F,VB04669_R_+_VB00289_F
VB05356_R,VB00234_F,VB05356_R_+_VB00234_F
LL000964_R,LL000954_F,LL000964_R_+_LL000954_F
LL001116_R,LL001108_F,LL001116_R_+_LL001108_F
LL001147_R,LL001139_F,LL001147_R_+_LL001139_F
LL000050_R,LL000048_F,LL000050_R_+_LL000048_F
LL000734_R,LL000726_F,LL000734_R_+_LL000726_F
LL000815_R,LL000807_F,LL000815_R_+_LL000807_F
LL000851_R,LL000843_F,LL000851_R_+_LL000843_F
LL000866_R,LL000858_F,LL000866_R_+_LL000858_F
LL000881_R,LL000873_F,LL000881_R_+_LL000873_F
LL000915_R,LL000907_F,LL000915_R_+_LL000907_F
LL001042_R,LL001034_F,LL001042_R_+_LL001034_F
LL000744_R,LL000746_F,LL000744_R_+_LL000746_F
LL000973_R,LL000975_F,LL000973_R_+_LL000975_F
LL001053_R,LL001055_F,LL001053_R_+_LL001055_F
PT002648_VB02150_R,PT002650_VB02152_F,PT002648_VB02150_R_+_PT002650_VB02152_F
PT000887_PT013446_R,PT000886_PT013445_VB03445_F,PT000887_PT013446_R_+_PT000886_PT013445_VB03445_F
PT000979_R,PT000980_F,PT000979_R_+_PT000980_F
PT002641_VB02146_R,PT002646_VB02148_F,PT002641_VB02146_R_+_PT002646_VB02148_F
PT001469_PT013790_VB04180_R,PT001479_PT013800_VB04177_F,PT001469_PT013790_VB04180_R_+_PT001479_PT013800_VB04177_F
PT003336_PT003369_VB01631_R,PT003337_PT003370_VB01628_F,PT003336_PT003369_VB01631_R_+_PT003337_PT003370_VB01628_F
LL000954_R,LL000961_F,LL000954_R_+_LL000961_F
LL000453_R,LL000452_F,LL000453_R_+_LL000452_F
